gsector,obs,Supplier & Manufacturing Collaboration,Customer & Community Engagement,Strategic & Joint Partnerships,IP & Technology Licensing,Industry-Academia & Research Collaboration,Technology & Platform Ecosystems,Open Innovation & Ecosystem Strategy,Marketing & Commercialization Cooperation,OIP
10,14,0.006915629322268326,0.004149377593360996,0.0027662517289073307,0.005532503457814661,0.008298755186721992,0.008298755186721992,0.0027662517289073307,0.015214384508990318,0.019363762102351315
15,51,0.035961272475795295,0.04702627939142462,0.02351313969571231,0.008298755186721992,0.011065006915629323,0.02627939142461964,0.009681881051175657,0.05394190871369295,0.07053941908713693
20,118,0.08713692946058091,0.0912863070539419,0.051175656984785614,0.030428769017980636,0.019363762102351315,0.09405255878284924,0.03734439834024896,0.1272475795297372,0.1632088520055325
25,112,0.07330567081604426,0.08575380359612725,0.040110650069156296,0.02627939142461964,0.0027662517289073307,0.03734439834024896,0.027662517289073305,0.11203319502074689,0.15491009681881052
30,36,0.019363762102351315,0.034578146611341634,0.009681881051175657,0.011065006915629323,0.008298755186721992,0.008298755186721992,0.011065006915629323,0.03319502074688797,0.04979253112033195
35,145,0.08437067773167359,0.07192254495159059,0.07053941908713693,0.05532503457814661,0.0677731673582296,0.07607192254495158,0.06915629322268327,0.10650069156293222,0.20055325034578148
40,6,0.0027662517289073307,0.006915629322268326,0.0013831258644536654,0.0027662517289073307,0.0,0.006915629322268326,0.004149377593360996,0.006915629322268326,0.008298755186721992
45,220,0.16044260027662519,0.1950207468879668,0.09405255878284924,0.07883817427385892,0.051175656984785614,0.23098201936376211,0.11203319502074689,0.18533886583679116,0.30428769017980634
50,14,0.008298755186721992,0.016597510373443983,0.009681881051175657,0.0013831258644536654,0.0013831258644536654,0.013831258644536652,0.006915629322268326,0.015214384508990318,0.019363762102351315
55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,7,0.006915629322268326,0.004149377593360996,0.006915629322268326,0.0013831258644536654,0.0,0.005532503457814661,0.0013831258644536654,0.006915629322268326,0.009681881051175657
All sectors,723,0.4854771784232365,0.5573997233748271,0.309820193637621,0.22130013831258644,0.17012448132780084,0.5076071922544951,0.2821576763485477,0.6625172890733055,0.9999999999999999
